OUNAS,Napoli,ATTACCANTE,7
BORINI,Milan,ATTACCANTE,7
GALABINOV,Genoa,ATTACCANTE,7
LAURINI,Fiorentina,DIFENSORE,6
DALBERT,Inter,DIFENSORE,6
GOLDANIGA,Sassuolo,DIFENSORE,6
CARACCIOLO A,Verona,DIFENSORE,6
HEURTAUX,Verona,DIFENSORE,6
SAMIR,Udinese,DIFENSORE,6
MOLINARO,Torino,DIFENSORE,6
ROSSETTINI,Genoa,DIFENSORE,6
VICARI,SPAL,DIFENSORE,6
BERESZYNSKI,Sampdoria,DIFENSORE,6
BRUNO PERES,Roma,DIFENSORE,6
MUSACCHIO,Milan,DIFENSORE,6
BASTA,Lazio,DIFENSORE,6
ANSALDI,Torino,DIFENSORE,6
BIRASCHI,Genoa,DIFENSORE,6
VITOR HUGO,Fiorentina,DIFENSORE,6
MARTELLA,Crotone,DIFENSORE,6
SAMPIRISI,Crotone,DIFENSORE,6
CEPPITELLI,Cagliari,DIFENSORE,6
HELANDER,Bologna,DIFENSORE,6
MASINA,Bologna,DIFENSORE,6
PALOMINO,Atalanta,DIFENSORE,6
SPINAZZOLA,Atalanta,CENTROCAMPISTA,6
POLI,Bologna,CENTROCAMPISTA,6
PULGAR,Bologna,CENTROCAMPISTA,6
CIGARINI,Cagliari,CENTROCAMPISTA,6
BASTIEN,Chievo,CENTROCAMPISTA,6
BARBERIS,Crotone,CENTROCAMPISTA,6
NALINI,Crotone,CENTROCAMPISTA,6
SAPONARA,Fiorentina,CENTROCAMPISTA,6
LAZOVIC,Genoa,CENTROCAMPISTA,6
MONTOLIVO,Milan,CENTROCAMPISTA,6
DE ROSSI,Roma,CENTROCAMPISTA,6
UNDER,Roma,CENTROCAMPISTA,6
DUNCAN,Sassuolo,CENTROCAMPISTA,6
MAGNANELLI,Sassuolo,CENTROCAMPISTA,6
MORA,SPAL,CENTROCAMPISTA,6
MEMUSHAJ,Benevento,CENTROCAMPISTA,6
BEHRAMI,Udinese,CENTROCAMPISTA,6
MAXI LOPEZ,Udinese,ATTACCANTE,6
DIABATE',Benevento,ATTACCANTE,6
PUCCIARELLI,Chievo,ATTACCANTE,6
GOMIS A,SPAL,PORTIERE,5
SCUFFET,Udinese,PORTIERE,5
NICOLAS,Verona,PORTIERE,5
LAZAAR,Benevento,DIFENSORE,5
HOWEDES,Juventus,DIFENSORE,5
STRYGER LARSEN,Udinese,DIFENSORE,5
AJETI,Crotone,DIFENSORE,5
LYANCO,Torino,DIFENSORE,5
COSTA F,SPAL,DIFENSORE,5
